Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Album_Type,Collection Style,Collection Genre,Collection Recorded,Collection Original Released,Collection Artist_City,Collection Artist_Country,Collection Artist_Region_State,Collection Purchased,Collection Year_Purchased,Collection Shop,Collection Shop_City,Collection Shop_Region_State,Collection Shop_Country,Collection Years active,Collection Group,Collection Group_Members,Collection Instrument(s),Collection Instrument(s)_2,Collection Instrument(s)_3,Collection Instrument(s)_4,Collection Media Condition,Collection Sleeve Condition,Collection Cover Art,Collection Notes,Collection Record Cleaning Date,Collection Record Cleaning Kit
2252004,Nina Simone,In Concert,'In' Crowd Records,"LP, Comp",4,2021,17999140,Original Collection,2023-05-09 01:49:26,Live,Vocal Jazz,Jazz,"New York, NY, USA",2021,Tryon,USA,North Carolina,In-Store,2021,Disco 100,Barcelona,Catalonia,Spain,1954–2002,No,None,"Vocals, Piano - Nina Simone","Guitar, Flute - Rudy Stevenson
Bass - Lisle Atkinson
Drums - Bobby Hamilton","Written by Jesseie Mae Robinson, Earl Burroughs, George & Ira Gershwin-DuBose Heyward, Simone-Alper-VanderGroef, Well-Brecht-Blitzstein, Krasnow-Lovelock, Tiomikin-Washington, Rodgers-Hart, Wilards Robinson, Simone-Cuney, Comfort-Simone","Written by Nina Simone, George Bass",Very Good Plus (VG+),Very Good Plus (VG+),Unknown,Back Cover note from Bernard Lee,,
350203,Billie Holiday,Lady In Satin,20th Century Masterworks,"LP, Ltd, RE, Pur",4,2020,15999105,Original Collection,2023-04-24 04:00:30,Collection,Jazz,Jazz,Unknown,1958,Philadelphia,USA,Pennsylvania,Online,2021,Amazon,None,None,Spain,1930–1959,No,None,"Vocal - Billie Holiday
violin and concertmaster - George Ockner
Violin - Emmanual Green,Harry Hoffman, Harry Katzmann, Leo Kruczek, Milton Lomask, Harry Meinikoff, David Newman, Samuel Rand, David Sarcer.
Viola - Sid Brecher, Richard Dichler ","cello - David Soyer, Maurice Brown
Harp - Janet Putman
Flute - Danny Bank, Phil Bodner, Romeo Penque, Tom Parshley.
Trumpet - Mel Davis, Billy Butterfield, Jimmy Ochner, Bernie Glow","Trombone - J.J. Johnson, Urbie Green
bass trombone - Tommy Mitchell
piano - Mal Waldron
guitar - Barry Galbraith
double bass - Milt Hinton
drums - Osie Johnson ",None,Near Mint (NM or M-),Near Mint (NM or M-),Photo by Michael Ochs Archives / Getty Images,"Originally released as Lady in Satin (Columbia) 1958

Series:	Colored Series",,
T-508,The Alan Parsons Project,Historias De Misterio E Imaginacion = Tales Of Mystery And Imagination,20th Century Records,"LP, Album, RE, Gat",4,1979,2470340,2023 Second Hand,2023-05-02 12:26:24,Conceptual,"Prog Rock, Art Rock, Symphonic Rock","Electronic, Rock","Abbey Road, London, UK
Mama Jo's, Hollywood, California, USA
Kingsway Hall, London, England, UK",1976,London,UK,England,In-Store,2023,Vinil Vintage,Barcelona,Catalonia,Spain,1975 - 1990,Yes,"Alan Parsons
Eric Woolfson
Andrew Powell","Guitars, Keyboards, EMI Vocoder, Projectron Synthesizer, Recorder, Additional Vocals, Producer, Engineer - Alan Parsons
Keyboards, Backing Vocals, Harpsichord, Organ, Additional Vocals, Executive Producer - Eric Woolfson","Orchestral arrangement, Orchestral Conductor, Keyboards, Organ - Andrew Powell","Bass - David Paton, Joe Puerta
Contrabass - Darryl Runswick
Drums - Stuart Tosh, Burleigh Drummond
Guitars - Ian Bairnson, David Paton, David Pack
Keyboards - Billy Lyall, Cristopher North, Francis Monkman","Cimbalo and Cantele - John Leach
Vocals - John Miles, Leonard Whiting, Jack Harris, Jane Powell, Smokey Parsons, David Paton, Stuart Tosh, ""The English Chorale""",Very Good (VG),Very Good Plus (VG+),"Cover By Hipgnosis and Hardie
illustration by Colin Elgie
Photography by Storm Thogerson, Aubrey Powell, Peter Christopherson, Sam Emerson
",The internal Gatefold is in Spanish and there is the Chronology of Edgar Allan Poe history. The tracks with the minutes. The credits. Brief biography of the group members.,,
88.122-l,Supertramp,Crime Of The Century,A&M Records,"LP, Album",3,1974,1460333,2023 Second Hand,2023-04-24 01:34:17,Studio Album,Rock,"Art Rock, Prog Rock, Pop Rock","Trident Studio
Ramport Studio
Scorpio Studio
London, England, UK",1974,London,UK,England,In-Store,2023,Discs Oldies,Valencia,Valencian Community,Spain,"1970–1988
1996–2002
2010–2012
2015",Yes,"Rick Davies
Roger Hodgson
John Anthony Helliwell
Dougie Thomson
Bob Siebenberg","Rick Davies – vocals, keyboards, harmonica
Roger Hodgson – vocals, guitar, pianos
John Anthony Helliwell – saxophones, clarinet, backing vocals
Dougie Thomson – bass guitar
Bob Siebenberg (credited as Bob C. Benberg) – drums, percussion","Christine Helliwell – backing vocals (3)
Scott Gorham – backing vocals (3)
Vicky Siebenberg – backing vocals (3)
Anonymous street musician – saw (3)
Ken Scott – water gong (8)",None,None,Fair (F),Poor (P),"Art Direction – Fabio Nicoli
Design [Sleeve], Photography – Paul Wakefield","Recorded at Trident, Ramport Studios and Scorpio Sound,
London between February and June, 1974.",,
AMLK 63730,The Police,Ghost In The Machine,A&M Records,"LP, Album",4,1981,1734217,2021 Second Hand,2023-05-03 08:18:31,Studio Album,"New Wave, Pop Rock","Rock, Pop","AIR, Montserrat, West Indies, UK
Le Studio, Morin-Heights, Quebec, Canada",1981,London,UK,England,In-Store,2021,Daily Records,Barcelona,Catalonia,Spain,"1977–1986
2003
2007–2008",Yes,"Sting
Andy Summers
Stewart Copeland","Bass, Vocals - Sting
Guitar - Andy Summers
Drums - Stewart Copeland","Keyboards – Jean Roussel
bass (5), additional bass (uncredited) - Danny Quatrochi
","Producer – Hugh Padgham, The Police
Engineering - Hugh Padgham
Engineering (2) (uncredited) - Nick Blagona
","Producer – Hugh Padgham, The Police
All tracks are written by Sting, except (7) Sting - Stewart Copeland, (9) Andy Summer, (11) Copeland.
",,,"Art Direction – Jeffrey Kent Ayeroff
Art Direction, Design [Album Design] – Mick Haggerty","Much of the material on the album was inspired by Arthur Koestler's The Ghost in the Machine, which also provided the title. It was the first Police album to bear an English-language title.  The album's cover is ranked at number 45 on VH1's ""50 Greatest""",,
17.1319/3,Joe Sample,Rainbow Seeker,"ABC Records, Mediterraneo (3)","LP, Album",3,1978,3615858,2023 Second Hand,2023-05-10 23:53:47,Studio Album,Fusion,Jazz,"ABC Recording Studios, Losa Angeles, California, USA
Warner Bros. Studios, Hollywood, California, USA
Hollywood Sound Recorders, Hollywood, California, USA.",1978,Houston,USA,Texas,In-Store,2023,Barcelona City Records,Barcelona,Catalonia,Spain,1950s–2014,No,"Keyboards – Joe Sample
Bass – Robert ""Pops"" Popwell
Drums, Percussions – ""Stix"" Hooper
Guitar - Billy Rogers","Special Guest, Guitar - Dean Parks, Ray Parker, Barry Finnerty, L.Marlo Henderson, David T. Walker
Special Guest, Percussions - Paulinho Da Costa
Special Guest, Trombone - Garnett Brown
Special Guest, Saxes - Ernest J.Watts Jr, Fred Jackson Jr","Special Guest, Flute - William Green
Spacial Guest, Trumpet - Robert O. Bryant, Jay Daversa, Steven Mandaio
Spacial Guest, Strings - Sid Sharp
","Engineer – Rik Pekkonen, Leslie Jones
Mastered By – Bernie Grundman
Mixed By – Rik Pekkonen
Producer – The Crusaders",Written By Joe Sample,Near Mint (NM or M-),Very Good Plus (VG+),"Art Director - Frank Mulvey
Design - Philip Chiang
Photography - Norman Seeff",There is a nice introduction on the left upper corner of the vinyl written byJoe Sample with the titles of the songs in the album.,,
"3 C 062 04348, 3C 062-04348",The Beatles,Hey Jude,"Apple Records, Apple Records","LP, Comp",4,1970,9161038,Father Collection,2023-04-27 05:52:14,Collection,"Rock & Roll, Pop Rock",Rock,"EMI, Apple and Trident
London, England, UK
Pathé Marconi
Paris, Île-de-France, France",1970,Liverpool,UK,"North West England, England",In-Store,1970,Unknown,Unknown,Lombardia,Italy,1960–1970,Yes,"John Lennon 
Paul McCartney
George Harrison
Ringo Starr","Lead Vocals, Backing Vocals, Rhythm Guitar, Lead Guitar, Harmonica, Percussion - John Lennon
Lead Vocals, Backing Vocals, Bass Guitar, Lead Guitar, Piano, Hammond Organ, Drums, Percussion - Paul McCartney","Lead Vocals, Backing Vocals, Lead Guitar, Rhythm Guitar, Bass Guitar, Hammond Organ, Percussion - George Harrison
Backing Vocals, Drums, Percussion - Ringo Starr","Electric Piano - Nicky Hopkins, Billy Preston 
Tenor Saxophone - Ronnie Scott, Bill Povey
Baritone Saxophone - Harry Klein, Bill Jackman","Written-By – Harrison* (tracks: B2), Lennon-McCartney (tracks: A1 to B1, B3, B4)",Very Good (VG),Very Good (VG),Photography by Ethan Russel,"The front and back cover pictures were taken at the last-ever Beatles photo session, on 22 August 1969, at John Lennon's home Tittenhurst Park by Ethan Russel.",,
"200.852-I, 200852-I","Emerson, Lake & Palmer",In Concert,"Ariola, Ariola","LP, Album",4,1980,1690045,2023 Second Hand,2023-04-20 01:26:02,Live,Symphonic Rock,Rock,"26 August 1977,
Olympic Stadium, 
Montreal, Quebec, Canada",1979,London,UK,England,In-Store,2023,Mercado Dominical de Sant Antoni,Barcelona,Catalonia,Spain,1970-2010,Yes,"Keith Emerson, Greg Lake, Carl Palmer","Keith Emerson: keyboards. Greg Lake: vocals, bass, guitar, producer. Carl Palmer:drums, percussion.",None,None,None,Fair (F),Fair (F),"Art Direction [Art Director] – Bob Defrin
Photography [Cover] – François Rivard
Photography [Inner Sleeve/Absent in my vynil] – Neil Preston","A2: Written-By – Henry Mancini
A5: Excerpt from ""The Scythian Suite"" 2nd Movement by Prokofieff.
A6: Excerpt from ""Sinfonietta"" by Janacek.",,
"26396-I, 26.396-I",Angelo Branduardi,Highdown Fair,"Ariola, Ariola","LP, Album, Gat",4,1978,5307711,2022 Second Hand,2023-04-25 02:08:12,Studio Album,"Soft Rock, Ballad","Rock, Pop","Fonit-Cetra Studios
Milan, Lombardia, Italy",1978,"Cuggiono, Milan",Italy,Lombardia,In-Store,2022,Daily Records,Barcelona,Catalonia,Spain,1974 - Presents,No,None,"Violin, Guitar, Guitar [Piccolo Guitar], Lute, Recorder [Flute] – Angelo Branduardi
","Bass – Gigi Capellotto*
Bouzouki, Cuica, Sitar, Harmonica – Bruno De Filippi
Clarinet, Piano – Gianni Nocenzi
Drums – Andy Surdi
Guitar, Lute – Maurizio Fabrizio
Harp – Tiziana Botticini
Percussion – Mario Lamberti",Written-By – Angelo Branduardi,None,Very Good (VG),Very Good Plus (VG+),Photography By – Cesare Monti,"Producer [English Version], Words By – Peter Sinfield
English version, based upon the original lyrics, written and produced by Peter Sinfield.
""Highdown Fair"" was freely inspired by a Jewish Passover song, thanks to David.
Editado y distribuido por Ariol",,
I·206 100,The Alan Parsons Project,Ammonia Avenue,Arista,"LP, Album",4,1984,1964540,2023 Second Hand,2023-05-03 09:55:29,Conceptual,"Pop Rock, Prog Rock",Rock,"Abbey Road Studios, London, England, UK",1984,London,UK,England,In-Store,2023,Vinil Vintage,Barcelona,Catalonia,Spain,1975–1990,Yes,"Alan Parsons
Eric Woolfson","Fairlight Programming - Alan Parsons
Keyboards, Vocals - Eric Woolfson","Acoustic Guitar, Electric Guitar – Ian Bairnson
Arranged By [Orchestra], Conductor [Orchestra] – Andrew Powell
Bass – David Paton
Drums, Percussion – Stuart Elliott
Leader [The Philharmonia Orchestra] – Christopher Warren-Green","Orchestra – The Philharmonia Orchestra
Saxophone – Mel Collins
Vocals – Chris Rainbow, Colin Blunstone, Eric Woolfson, Lenny Zakatek","Engineer [Assistant] – Tony Richards
Executive-Producer – Eric Woolfson
Mastered By [Mastering Consultant] – Chris Blair
Producer – Alan Parsons
Producer, Engineer – Alan Parsons
Written-By – Alan Parsons, Eric Woolfson",Very Good Plus (VG+),Very Good (VG),"Design [Sleeve] – STd (3)
Photography – Fell/Hurworth
Photography By – STd (3)","Inner sleeve with lyrics and credits.
The title of the album was inspired by Eric Woolfson's visit to Imperial Chemical Industries (ICI), England, where the first thing he saw was a street with miles of pipes, a sign that read 'Ammonia Avenue""",,
"10 C 066-060.792, 10C066-060.792",The Alan Parsons Project,Pyramid,"Arista, Arista","LP, Album",4,1978,3963818,2023 Second Hand,2023-04-20 01:11:39,"Conceptual
","Pop Rock, Art Rock, Prog Rock, New Wave",Rock,"Abbey Road Studios
London, England, UK",1978,London,UK,England,In-Store,2023,Mercado Dominical de Sant Antoni,Barcelona,Catalonia,Spain,1975–1990,Yes,"Alan Parsons, Eric Woolfson","David Paton – bass, vocals
Stuart Elliott – drums, percussion
Ian Bairnson – electric and acoustic guitars
Eric Woolfson, Duncan Mackay – keyboards
Dean Ford, Colin Blunstone, Lenny Zakatek, John Miles, Jack Harris – vocals
Phil Kenzie – saxophone solos ",None,None,None,Fair (F),Fair (F),"Photography By – Hipgnosis (2), Brimson*","Not-gatefold cover. It has an inner sleeve with art imagery and lyrics instead.
Typo at A5 (label) - (It /In)

[on inner sleeve:]
℗ & © 1978 Arista Records
Colin Blunstone appears by courtesy of The Rocket Records Ltd.,
Dean Ford appears by courtesy of E",,
790 522-1,Yes,Big Generator,ATCO Records,"LP, Album",2,1987,5422913,2023 Second Hand,2023-04-20 01:30:41,Studio Album,"Art Rock, Pop Rock",Rock,"Lark Recording Studios
Carimate, lombardia, Italy
SARM East
SARM West
AIR Studios
London, England, UK
Southcombe Studios
Westlake Studios
Sunset Sound Studios
Los Angeles, California, USA",1987,London,UK,England,In-Store,2023,Revolver Records SL,Barcelona,Catalonia,Spain,"1968–1981
1983–2004
2008–present",Yes,"Jon Anderson
Trevor Rabin
Tony Kaye
Chris Squire
Alan White","Jon Anderson – vocals
Trevor Rabin – vocals, acoustic and electric guitars, keyboards, string arrangements
Tony Kaye – keyboards
Chris Squire – bass guitar, backing vocals
Alan White – drums, percussion, backing vocals","Lee R. Thornburg – horns on ""Almost Like Love""
Nick Lane – horns on ""Almost Like Love""
Greg Smith – horns on ""Almost Like Love""
Jimmy Zavala – horns on ""Almost Like Love"", harmonica on ""Love Will Find a Way""","Written-By 
Alan White (tracks: A2, A3, B3), Chris Squire (tracks: A1 to A4, B2, B3), 
Jon Anderson (tracks: A1 to A4, B2 to B4), 
Tony Kaye (tracks: A1 to A4, B2, B3), Trevor Rabin (tracks: A1 to B3)",None,Good Plus (G+),Good Plus (G+),"Design – Mouat/AI*
",,,
HATS 421-148,Yes,Relayer,Atlantic,"LP, Album, Gat",3,1975,2424065,2023 Second Hand,2023-04-26 07:07:17,Studio Album,Prog Rock,Rock,"Eddy Offord Remote Studio
England",1974,London,UK,England,In-Store,2023,Mercat Sant Antoni,Barcelona,Catalonia,UK,"1968–1981
1983–2004
2008–present",Yes,"Alan White
Chris Squire
Jon Anderson
Patrick Moraz
Steve Howe","Lead vocals, Acoustic Guitars, Piccolo, Percussion - Jon Anderson
Acoustic Guitars, Electric Guitars, Pedal Steel, Electric Sitar, Backing Vocals - Steve Howe
Bass Guitar, Backing Vocals - Chris Squire","Piano, Electric Piano, Hammond Organ, Minimoog, Mellotron - Patrick Moraz
Drums, Percussion - Alan White","Producer – Eddie Offord*, Yes
Technician [Tapes] – Genaro Rippo","Arranged By, Written-By – Yes",Good Plus (G+),Very Good Plus (VG+),"Artwork, Design – Roger Dean
Design [Paste up] – Mike Allison
Photography By – Jean Ristori
Printed By – Imp. Hispavox S.A.","Recorded on Eddie Offord's mobile equipment in England during the late summer and autumn 1974.
Mixed at Advision.",,
HATS 421-248,Yes,Going For The One,Atlantic,"LP, Album, Dou",3,1977,1924247,2023 Second Hand,2023-04-24 05:26:29,Studio Album,Prog Rock,Rock,"Mountain Studios, Montreux, Switzerland",1977,London,UK,England,In-Store,2023,Daily Record,Barcelona,Catalonia,Spain,"1968–1981
1983–2004
2008–present",Yes,"Jon Anderson
Steve Howe
Chris Squire
Rick Wakeman
Alan White","Jon Anderson – lead vocals, harp
Steve Howe – steel guitar, acoustic and electric guitars, vachalia, pedal steel guitar, vocals
Chris Squire – bass guitar, fretless bass, 8-string bass, vocals
","Rick Wakeman – piano, electric keyboards, church organ at St. Martin's in Vevey, Polymoog synthesizer, choral arrangement on ""Awaken""
Alan White – drums, percussion, tuned percussion
","Ars Laeta of Lausanne – choir on ""Awaken""
Richard Williams Singers – choir on ""Awaken""",None,Good (G),Good (G),"Artwork [Logo] – Roger Dean (4)
Design [Graphics] – George Hardie
Design [Sleeve Design], Photography By – Hipgnosis (2
Lacquer Cut By [Disc Cutting] – Paul Van Der Sonckheyd*, Sean Davis*
Photography By [Inner Spread] – Alex Grob, Jaques Straessle*","Ars Laeta Of Lausanne on track B2 recorded at Eglise des Planches, Montreux, Switzerland.
Church Organ recorded at St. Martin's Church, Vevey, Switzerland.
Packaged in a double gatefold sleeve.
Includes lyrics/credits insert.

Distribuido por Hispavox, S",,
840114,Charlie Parker,Jam Session,Bird's Nest,"LP, Comp, Mono, 180",4,2020,16502229,Original Collection,2023-05-09 03:46:26,Collection,"Bop, Swing",Jazz,"Los Angeles, California, USA",1952,Kansas City,USA,Kansas,Online,2022,Amazon,Other,Other,Spain,1937–1955,No,None,"Alto Saxophone – Benny Carter, Charlie Parker, Johnny Hodges
Bass – Ray Brown
Cover – David Stone Martin
Drums – J.C. Heard
Guitar – Barney Kessel
Piano – Oscar Peterson
Supervised By, Liner Notes – Norman Granz
","Tenor Saxophone – Ben Webster, Flip Phillips
Trumpet – Charlie Shavers",,,Near Mint (NM or M-),Near Mint (NM or M-),,Recorded in June 1952 in Los Angeles. - Coloured Vinyl,,
10 055 EPB,Ella Fitzgerald And Her Famous Orchestra,The First Lady Of Jazz,Brunswick,"7"", EP, Mono, RP",,1962,12107720,45,2023-05-10 05:28:49,Single,"Swing, Vocal",Jazz,Unknown,1958,Newport News,USA,Virginia,In-Store,2021,Unknown,Florence,Toscana,Italy,1929–1995,No,Other,Other,Other,Other,"written by Goodman-Mundy-Christian, Hampton-Goodman, Lewis,Gershwin",Fair (F),Fair (F),Unknown,"On backsleeve:
Printed in Germany . Imprimé en Allemande . Impreso en Alemaniac 11.62
",,
076 7912681,Bonnie Raitt,Nick Of Time,Capitol Records,"LP, Album",3,1990,6255265,2022 Second Hand,2023-05-09 06:58:52,Studio Album,"Blues Rock, Pop Rock","Rock, Pop","Ocean Way (Hollywood, California, USA)
Capitol  (Hollywood, California, USA)
Hollywood Sound  (Hollywood, California, USA)
Record Plant (Los Angeles, California, USA)",1989,Burbank,USA,California,In-Store,2022,Daily Records,Barcelona,Catalonia,Spain,1971–present,No,None,"Bonnie Raitt - Acoustic Guitar, Piano, Slide Guitar, Vocals, ","Other [Hair] – Gina Furth
Other [Make-up] – Paul Starr
Recorded By [Assistant], Mixed By [Assistant] – Charlie Paakkari, Clark Germain, Jim Mitchel*, Martin Schmelzle, Leslie Jones*
Same:
Bass: Hutch Hutchinson
Drums: Ricky Fataar","Different:
Backing Vocals: Sir Harry Bowens* vs Arnold McCuller, Sweet Pea Atkinson vs David Crosby, Graham Nash vs Larry John McNally vs Arnold McCuller, David Lasley","Congas: Paulinho Da Costa
Percussion: Tony Braunagel vs Paulinho Da Costa
Written-By: Bonnie Raitt vs John Haitt* vs Bonnie Hayes vs Michael Ruff vs Jerry L. Williams* vs M. Reid*, R.M. Bourke* vs D. Lasley*, J. Lasley* vs Bonnie Raitt",Very Good (VG),Very Good (VG),"Art Direction – Tommy Steele (2)
Design – Larry Vigon Studio
Photography By – Deborah Frankel","A commercial breakthrough after years of personal and professional struggles, Nick of Time topped the Billboard 200 chart, selling five million copies, and won three Grammy Awards, including Album of the Year",,
CBS 26533,Claudio Baglioni,La Vita È Adesso,CBS,"LP, Album, RE, Gat",4,1985,2109619,2022 Second Hand Rita,2023-04-24 02:49:56,Studio Album,"Chanson, Ballad",Pop,"The Manor
The Town House
Abbey Road Studios
London, England, UK",1985,Rome,Italy,Lazio,In-Store,2022,Unknown,Florence,Toscana,Italy,1968 – Presents,No,None,Backing Vocals – Claudio Baglioni,"Acoustic Guitar - Paul Keogh
Backing Vocals – Claudio Baglioni
Bass – Mo Foster, Felix Krish
Drums – Brett Morgan, Pete Van Hooke, Stuart Elliot*
Electric Guitar - Phil Palmer,  Ray Russel*
Keyboards – Jess Bailey, Nick Glenne Smith, Derek Austen
","Percussion – Frank Ricotti
Piano – Trevor Bastow, Jess Bailey
Strings – London Symphony Orchestra*
Synthesizer [Fairlight] – Hans Zimmer, Steve Rance","Written-By, Producer – Claudio Baglioni",Poor (P),Fair (F),"Graphics – Ufficio Grafico CBS
Photography By – Toni Thorimbert","Triple Gatefold Cover.
Insert With Lyrics.",,
CBS 450259 1,Spandau Ballet,Through The Barricades,CBS,"LP, Album, Pos",2,1986,12055616,2022 Second Hand,2023-04-24 08:56:00,Studio Album,"Pop Rock, Synth-pop","Rock, Pop","Musicland
Munich, Bavaria, West Germany
Miraval
Correns, Provence-Alpes-Costa Azul, France",1986,London,UK,England,In-Store,2022,Revolver,Barcelona,Catalonia,Spain,"1979–1990
2009–2019",Yes,"Tony Hadley
Gary Kemp
Martin Kemp
John Keeble
Steve Norman","Bass – Martin Kemp
Drums – John Keeble
Guitar – Gary Kemp
Saxophone, Percussion – Steve Norman
Vocals – Tony Hadley","keyboards, synthesizers - Toby Chapman
backing vocals - Ruby James, Shirley Lewis, Helena Springs",Written-By – Gary Kemp,None,Good (G),Good Plus (G+),"Design – Gary Movat, Assorted Images, London
Photography By [Sleeve] – Nick Knight
","Carry a yellow circled sticker:
""Includes Fight For Ourselves Through The Barricades 450259 1""",,
CBS 460270 1,Bruce Springsteen,Tunnel Of Love,CBS,"LP, Album",3,1987,3116927,Original Collection,2023-04-20 00:54:57,"Studio Album
","Soft Rock, Pop Rock, Ballad","Rock, Pop","A&M Studios 
Los Angeles, California, USA",1987,Long Branch,U.S.A.,New Jersey,In-Store,1987,None,Aprilia,Lazio,Italy,1964–present,No,None,"Vocals, guitar, Effects [Sound] - Bruce Springsteen
Organ – Danny Federici.
Percussion, Drums – Max Weinberg.
Bass – Garry Tallent.
Harmonica – James Wood
Other [Roller Coaster] – Schiffer Family
Soloist, Guitar, Vocals – Nils Lofgren
","Vocals – Patti Scialfa
Synthesizer, Piano – Roy Bittan
Vocals – Clarence Clemons
Words By, Music By – Bruce Springsteen",None,None,Fair (F),Good (G),"Art Direction – Sandra Choron
Photography By – Annie Leibovitz",Distributed By – CBS Dischi S.p.A.,,
S 69022 E,Santana,Caravanserai,CBS,"LP, Album, Gat",,1972,7785585,2023 Second Hand,2023-05-15 03:08:11,Studio Album,"Jazz-Rock, Fusion, Album Rock, Global Jazz, Latin Jazz, Soul Jazz","Pop/Rock, Jazz","Columbia Studios, San Francisco, California,USA",1972,San Francisco,USA,California,In-Store,2023,Barcelona City Record,Barcelona,Catalonia,Spain,1966–present,Yes,"Carlos Santana 
Neal Schon 
Gregg Rolie
Douglas Rauch
Douglas Rodrigues
Wendy Haas
Tom Rutley
Michael Shrieve
José ""Chepito"" Areas
James Mingo Lewis
Armando Peraza
Hadley Caliman
Rico Reyes
Lenny White
Tom Coster
Tom Harrell","Acoustic Bass – Tom Rutley* (tracks: A1, A6, B2 to B4)
Bass – Douglas Rauch* (tracks: A2 to A6)
Bongos – Armando Peraza (tracks: B3), Jose Chepito Areas* (tracks: B2), James Mingo Lewis* (tracks: B1)
Castanets – Lenny White (tracks: A6)
","Congas – Jose Chepito Areas* (tracks: B1), James Mingo Lewis* (tracks: A2, A4 to B4)
Drums – Mike Shrieve* (tracks: A1 to A6, B2 to B4)
Electric Piano – Tom Coster (tracks: B3)
Guitar – Douglas Rauch* (tracks: A2, A3), Douglas Rodrigues* (tracks: A2)","Guitar -  Neal Schon (tracks: A1, A3 to A6, B2 to B4)
Lead Guitar – Carlos Santana (tracks: A2 to A4, A6, B2 to B4)
Organ – Gregg Rolie (tracks: A2 to A6, B2 to B4)
Percussion – Armando Peraza (tracks: B2), Carlos Santana (tracks: A1, A5, B2)","Percussion – James Mingo Lewis* (tracks: A1, B2, B3)
Piano – Gregg Rolie (tracks: A6), Wendy Haas (tracks: A1, B2)
Piano [Acoustic] – James Mingo Lewis* (tracks: B3)
Timbales – Jose Chepito Areas* (tracks: A2 to A4, A6, B1, B3, B4)
Vocals – Carlos Santan",Very Good (VG),Fair (F),Artwork [Album Art] – Joan Chase,"Engineer – Glen Kolotkin, Mike Larner
Lyrics By – Carlos Santana (tracks: B2), Mike Shrieve* (tracks: B2)
Producer – Michael Shrieve
Vocals –  James Mingo Lewis* (tracks: A6), Rico Reyes (tracks: A6)",,
LPX 20,New Trolls,UT,Cetra,"LP, Album, Gat",3,1972,1464421,Father Collection,2023-04-25 01:49:37,Studio Album,"Classic Rock, Prog Rock, Symphonic Rock",Rock,"Sala di registrazioni Fonit-Cetra
Milano, Lombardia, Italy",1972,Genova,Italy,Liguria,In-Store,1972,Unknown,Unknown,Unknown,Italy,1967–present,Yes,"Nico Di Palo
Vittorio De Scalzi
Maurizio Salvi
Frank Laugelli (alias Frank Rhodes)
Gianni Belleno","Bass – Frank Laugelli
Drums, Vocals – Gianni Belleno
Electric Guitar [Chitarra Leslie] – Vittorio Di Scalzi
Guitar, Lead Vocals – Nico Di Palo
Piano, Organ, Synthesizer [Eminent E Synthetizer] – Maurizio Salvi","Music By – Dini* (tracks: A4 to B3), Rhodes* (tracks: A2 to B3), Belleno* (tracks: A3 to B3), Salvi* (tracks: A2 to B1, B3), Di Palo* (tracks: A2 to B3), Chiabrera* (tracks: A3, B2)",None,None,Good Plus (G+),Very Good Plus (VG+),Design Concept [Su Una Idea Dei] – New Trolls,None,,
6302 136,Rick Wakeman,1984,Charisma,"LP, Album",,1981,5423430,2023 Second Hand,2023-05-11 03:05:47,Conceptual,"Progressive Rock, Art Rock",Rock,"Morgan, London, England, UK",1981,"Perivale, Middlesex",UK,England,In-Store,2023,Barcelona City Records,Barcelona,Catalonia,Spain,1969–present,No,None,"Bass, Composer, Guitar, Keyboards, Mini Moog, Moog Synthesizer, Organ, Piano, Piano (Electric), Primary Artist, Producer, String Machine, Strings, Synclavier, Synthesizer, Vocals (Background) - Rick Wakeman	","Vocals - Jon Anderson, Vicki Brown, Steve Harley, Sonja Jones, Chaka Khan, Stevie Lange, Kenny Lynch, Sonia Jones Morgan, Tim Rice, Timothy Rice
Bass - Steve Barnacle, Robin McGee, Daryl Runswick
Bassoon - G. Scheen
","Cello - Alan Daziel, M. Robinson, B. Truman, Peter Willison
Clarinet - Keith Puddy, T. Weinberg
Drums - Tony Fernandez, Frank Ricotti
Engineer - Mike Bobak
Flute - Jim Gregory
Guitar - Tim Stone
Horn - Phillip Eastop, J. Jenkins, Malachi Thompson","Oboe - David Theodore, June Whiting
Saxophone - Gary Barnacle
Tape Operator - Mark Ellis
Trumpet - Jesse Miller, J. Wallis
Viola - Levine Andrade, Mike Cookson, D. Newlands
Violin - Bruce Dukov, Tim Good, Andrew McGee, George Robertson, Jack Rothstein",Very Good Plus (VG+),,Album Sleeve - Hipgnosis - Ian Wright,"Lyrics By Tim Rice

Inner sleeve with Lyrics and Credits.

This album is dedicated to my father Cyril Frank Wakeman.

A very special thanks to Danielle Wakeman for keeping the inspiration flowing",,
