Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Album_Type,Collection Style,Collection Genre,Collection Recorded,Collection Original Released,Collection Artist_City,Collection Artist_Country,Collection Artist_Region_State,Collection Purchased,Collection Year_Purchased,Collection Shop,Collection Shop_City,Collection Shop_Region_State,Collection Shop_Country,Collection Years active,Collection Group,Collection Group_Members,Collection Instrument(s),Collection Instrument(s)_2,Collection Instrument(s)_3,Collection Instrument(s)_4,Collection Media Condition,Collection Sleeve Condition,Collection Cover Art,Collection Notes
LPX 20,New Trolls,UT,Cetra,"LP, Album, Gat",3,1972,1464421,Father Collection,2023-04-25 01:49:37,Studio Album,"Classic Rock, Prog Rock, Symphonic Rock",Rock,"Sala di registrazioni Fonit-Cetra
Milano, Lombardia, Italy",1972,Genova,Italy,Liguria,In-Store,1972,Unknown,Unknown,Unknown,Italy,1967–present,Yes,"Nico Di Palo
Vittorio De Scalzi
Maurizio Salvi
Frank Laugelli (alias Frank Rhodes)
Gianni Belleno","Bass – Frank Laugelli
Drums, Vocals – Gianni Belleno
Electric Guitar [Chitarra Leslie] – Vittorio Di Scalzi
Guitar, Lead Vocals – Nico Di Palo
Piano, Organ, Synthesizer [Eminent E Synthetizer] – Maurizio Salvi","Music By – Dini* (tracks: A4 to B3), Rhodes* (tracks: A2 to B3), Belleno* (tracks: A3 to B3), Salvi* (tracks: A2 to B1, B3), Di Palo* (tracks: A2 to B3), Chiabrera* (tracks: A3, B2)",None,None,Good Plus (G+),Very Good Plus (VG+),Design Concept [Su Una Idea Dei] – New Trolls,None
63 07 503,Procol Harum,Live - In Concert With The Edmonton Symphony Orchestra,Chrysalis,"LP, Album",4,1972,4584682,2022 Second Hand,2023-04-24 04:23:35,Live,Symphonic Rock,Rock,"18 November 1971
Recorded live at the Jubilee Auditorium
Edmonton, Alberta, Canada",1972,Southend-on-Sea,UK,"Essex, England",In-Store,2022,Daily Records,Barcelona,Catalonia,Spain,"1967–1977
1991–2022",Yes,"Chris Copping
Alan Cartwright
B. J. Wilson
Dave Ball
Gary Brooker
Keith Reid","Chris Copping – organ
Alan Cartwright – bass guitar
B. J. Wilson – drums
Dave Ball – guitar
Gary Brooker – piano and vocals
Keith Reid – lyrics","The Edmonton Symphony Orchestra
Lawrence Leonard, conductor
Da Camera Singers",None,None,Good (G),Good (G),Cover - Bruce Meek,
CDL 1403,Spandau Ballet,True = Verdad,Chrysalis,"LP, Album",2,1983,17934448,2022 Second Hand,2023-04-24 09:08:36,Studio Album,"Synth-pop, Ballad, Dance-pop","Electronic, Pop","Red Bus
London, England, UK
Compass Point
Nassau, New Providence, The Bahamas",1983,London,England,UK,In-Store,2022,Daily Records,Barcelona,Catalonia,Spain,"1979–1990
2009–2019",Yes,"ony Hadley
Gary Kemp
Martin Kemp
John Keeble
Steve Norman","Bass – Martin Kemp
Drums – John Keeble
Guitar – Gary Kemp
Saxophone, Percussion – Steve Norman
Vocals – Tony Hadley",keyboards - Jess Bailey,Written-By – Gary Kemp,None,Good Plus (G+),Good Plus (G+),Cover - David Band,"Includes lyrics insert.
[on labels]:
(P) 1983 Chrysalis Records Ltd."
"3 C062 - 04096, 3C 062-04096",Pink Floyd,"Soundtrack From The Film ""More""","Columbia, Columbia","LP, Album, Thi",3,0,2654407,Father Collection,2023-04-26 00:40:00,Soundtrack,"Psychedelic Rock, Prog Rock","Rock, Stage & Screen","Pye
London, England, UK",1969,London,UK,England,In-Store,Unknown,Unknown,Unknown,Unknown,Italy,"1965–1994
2005
2007
2013–2014
2022",Yes,"David Gilmour
Nick Mason
Richard Wright
Roger Waters  ","Bass Guitar - Roger Waters
Keyboards, Vocals - Richard Wright 
Guitar, Vocals - David Gilmour
Drums - Nick Mason","Tin Whistle - Lindy Mason
","Written-By – Gilmour (tracks: A7, B1 to B4 to B6), Mason (tracks: A4, A7, B1 to B4, B6), Wright (tracks: A4, A7, B1 to B4, B6), Waters (tracks: A1 to A3, A5 to A7, B1 to B4, B6)","Engineering - Brian Humphries
Producer, Performer – Pink Floyd",Very Good (VG),Very Good (VG),Artwork – Hipgnosis (2),"Front Cover: Photo from the movieBack Cover: Black and white picture from the movie, the credits, and a blue border. 

Directed by Barbet Schroeder
Produced by Jet Films
Starring Mimsi Farmer and Klaus Grunberg"
"PC2 36183, 36183",Pink Floyd,The Wall,"Columbia, Columbia","2xLP, Album",3,1979,1203086,Father Collection,2023-04-24 06:02:41,Tribute Album,Prog Rock,Rock,"Britannia Row
London, England, UK
Super Bear
Nice, France
Miraval (Correns)
30th Street
New York, New York, USA
Producers Workshop
Los Angeles
Cherokee
Hollywood)",1979,London,UK,England,In-Store,Unknown,Unknown,Unknown,Unknown,Italy,"1965–1994
2005
2007
2013–2014
2022",Yes,"Roger Waters
David Gilmour
Nick Mason
Richard Wright","Roger Waters – vocals, bass guitar, synthesizer, acoustic guitar,  electric guitar
David Gilmour – vocals, electric,and acoustic guitars, bass guitar,ARP Quadra synthesizers","Nick Mason – drums and percussion 
Richard Wright – piano, Hammond organ, Prophet-5, ARP Quadra, Minimoog synthesizers, Fender Rhodes, Wurlitzer electric pianos, clavinet.","Bob Ezrin - piano, Hammond organ and harmonium, Prophet-5
Jeff Porcaro - drums
Lee Ritenour – rhythm guitar, acoustic guitar
Fred Mandel – Hammond organ
Bobbye Hall – congas and bongos
Frank Marocco – concertina
Larry Williams – clarinet","New York Orchestra & Opera
Harry Waters – child's voice on ""Goodbye Blue Sky""
Children of Islington Green School
Backing Vocals – Bruce Johnston, Islington Green School, Jim Haas, Joe Chemay, John Joyce*, Stan Farber, Toni Tennille",Good Plus (G+),Very Good (VG),"Artwork – Gerald Scarfe
Design [Sleeve Design] – Gerald Scarfe, Roger Waters",Released with a gatefold cover and inner sleeves with wall design and hand written lyrics.
3C 064-18277,Pino Daniele,Terra Mia,EMI,"LP, Album",3,1977,2677049,Father Collection,2023-04-24 02:42:48,Studio Album,Blues Rock,"Rock, Blues, Pop","Studio Quattro 1 
Roma, Lazio, Italy",1977,Naples,Italy,Campania,In-Store,Unknown,Unknown,Unknown,Unknown,Italy,1975 – 2015,No,None,"Lyrics By, Music By, Arranged By, Classical Guitar, Acoustic Guitar, Electric Guitar, Mandola, Mandolin, Vocals – Pino Daniele","Drums, Percussion – Rosario Iermano*
Electric Bass, Contrabass [Acoustic] – Rino Zurzolo
Wind – Enzo Avitabile","Performer [Chorus] – Donatella Brighel, Dorina Giangrande",None,Good Plus (G+),Very Good (VG),"Cover – Umberto Telesco
Graphics – Bruno Fedetto","Issued in a black & white and brown print matt cover, not laminated; comes with an illustrated lyric inner sleeve.

Recorded at Quattro Uno studio, Roma (july 1976 - april 1977).
"
3C 064-18285,Franco Battiato,L'Era Del Cinghiale Bianco,EMI,"LP, Album",4,1979,795991,Father Collection,2023-04-20 23:21:03,Studio Album,Pop Rock,"Rock, Pop","Studio Radius
Milano, Lombardia, Italia",1979,Ionia (Catania),Italy,Sicilia,In-Store,1979,Unknown,Unknown,Unknown,Unknown,1965–2019,No,None,"Bass – Julius Farmer
Conductor, Violin – Giusto Pio
Drums, Percussion – Tullio De Piscopo
Guitar – Alberto Radius
Keyboards [Tastiere] – Antonio Ballista, Roberto Colombo
Lyrics By, Music By – Franco Battiato",None,None,None,Good Plus (G+),Good (G),Cover [Copertina] – Francesco Messina,© ℗ 1979 EMI Italiana S.p.A.
3C 064-94519,Queen,Queen,EMI,"LP, Album, RE",4,1981,5282336,Original Collection,2023-04-26 03:28:49,Studio Album,"Hard Rock, Heavy Metal, Progressive Rock",Rock,"De Lane Lea
Trident
London, England UK",1973,,,,In-Store,1987,Unknown,Rome,Lazio,Italy,1970–present,Yes,"Brian May
Freddy Mercury
John Deacon
John Taylor","Bass Guitar - John Deacon
Drums, Percussion, Lead vocals, Backing Vocals - John Taylor
Guitars, Piano, Backing Vocals - Brian May
Lead Vocals, Piano, Hammond Organ, Backing Vocals",Backing Vocals - John Anthony,"Production by Roy Thomas Baker, John Anthony","Written by  May, Staffell, Mercury, Taylor
Producer – John Anthony, Queen
Producer, Engineer – Roy Baker*",Very Good (VG),Poor (P),"Cover, Design [Cover] – Brian, Douglas, Freddie
Photography By – Douglas Puddifoot
Printed By – Garrod & Lofthouse Ltd.",80's reissue
"3C 064-97176, 3 C064-97176",Queen,A Night At The Opera,"EMI, EMI","LP, Album, RE, Gat",5,1981,7840437,Original Collection,2023-04-21 02:34:11,Studio Album,"Hard Rock, Pop Rock, Prog Rock",Rock,"Sarm East Studios
Roundhouse Studios
Olympic Studios
Scorpio Studios
Lansdowne Studios
London, England, UK
Rockfield Studios
Monmouth, Wales, UK.
",1975,London,UK,England,In-Store,1988,Unknown,Rome,Lazio,Italy,1970–present,Yes,"Sir Brian May 
Freddie Mercury
Roger Taylor
John Deacon","Freddie Mercury: lead vocals, backing vocals, piano, jangle piano
Brian May: electric guitar, backing vocals, acoustic guitar), lead vocals, koto,  koto, harp, ukulele
Roger Taylor: drums, backing vocals, percussions, lead vocals- John Beacon: bass, elec","A1, A2, A7, B2, B4 - Written by Freddy Mercury
A3 - Written by Roger Taylor
A4 - Written by John Deacon
A5, A6, B1, B3 - Written by Brian May ",None,None,Very Good (VG),Good Plus (G+),"Art Direction – David Costa
","Picture inner sleeve.
Made in Italy by EMI Italiana S.p.a."
88697 74517 1,Jimi Hendrix,Blues,"Experience Hendrix, Legacy, Sony Music","2xLP, Comp, RE, 180",2,2017,10952821,Original Collection,2023-04-24 05:36:31,Collection,Blues Rock,"Rock, Blues",1966–1970,1994,Seattle,USA,Washington,In-Store,2021,Discos 100,Barcelona,Catalonia,Spain,1962–1970,No,None,"Guitar, Twelve-String Guitar, Vocals, Written-By – Jimi Hendrix
","Bass  – Billy Cox
Bass – Jack Casady
Bass, Rhythm Guitar – Noel Redding
Drums – Buddy Miles
","Piano - Sharon Layne
organ on ""Electric Church Red House"" - Lee Michaels  ",None,Near Mint (NM or M-),Near Mint (NM or M-),"Designed At – Stylorouge
Designed At – Smay Design
Photography By [Blues Cover Main Image Crash Landing] – Richard Peters (2)
Photography By [Blues Cover] – Andrew Putler, David Redfern, Garry Brandon (2), Glenn A. Baker, Michael Ochs, Retna Pictures Ltd","Reissue of the Music on Vinyl release from 2010.

Includes expanded booklet filled with rare photos and comprehensive liner notes.
Pressed on 180 gram audiophile grade vinyl.

℗ & © 2010
Made in the EU."
PL 409,New Trolls,Senza Orario Senza Bandiera,Fonit Cetra,"LP, Album, RE",3,1980,2752826,Father Collection,2023-04-26 01:57:57,Conceptual,"Folk Rock, Pop Rock, Prog Rock","Rock, Pop","Idea Recording
Milano, Lombardia, Italy",1968,Genova,Italy,Liguria,In-Store,Unknown,Unknown,Unknown,Unknown,Italy,"1967 – 1973
1975 – 1998",Yes,"Vittorio De Scalzi
Nico Di Palo
Giorgio D'Adamo
Gianni Belleno
Mauro Chiarugi
","Guitar, Keyboard, Vocals - Vittorio Di Scalzi
Guitar, Vocals - Nico Di Palo
Bass - Giorgio D'Adamo
Drums, Percussions, Back Vocals - Gianni Belleno
Keyboards - Mauro Chiarugi","Lyrics By – Mannerini* (tracks: A1 to A3, B1, B2, B4, B5)
Music By – 
De André (tracks: A1 to A4, B1 to B5), D'Adamo (tracks: A5), 
Di Palo (tracks: A1, A2, A4 to B5), 
De Scalzi (tracks: A1, A2, A4 to B5)","Producer – Fabrizio De André, Gianpiero Reverberi",None,Good Plus (G+),Good Plus (G+),Printed By – Grafiche Dotti,I testi di Riccardo Mannerini passano attraverso le mani di Fabrizio De André che li assembla ingabbiandoli nella metrica
3C 054-04299,Pink Floyd,Masters Of Rock,Harvest,"LP, Comp",3,1974,1420373,Father Collection,2023-04-26 01:08:30,Collection,"Psychedelic Rock, Classic Rock",Rock, Unknown,1974,London,UK,England,In-Store,Unknown,Unknown,Unknown,Unknown,Italy,"1965–1994
2005
2007
2013–2014
2022",Yes,"David Gilmour
Nick Mason
Richard Wright
Roger Waters
Syd Barret","Bass, Vocals – Roger Waters
Drums – Nick Mason
Guitar, Vocals – Syd Barrett
Keyboards, Vocals – Richard Wright
Guitar, Vocals – Syd Barrett (7 & 9)","Written-By – Richard Wright (tracks: B2,B3), Roger Waters (tracks: B5), Barrett* (tracks: A1 to B1, B5)",None,None,Good Plus (G+),Very Good (VG),Printed By – Grafica Centonze,"""Candy And A Current Bun"" is misspelled on sleeve & label: should be ""currant"".

On back cover there is the name of David Gilmour but on recording is Syd Barrett."
3C 064-05249,Pink Floyd,The Dark Side Of The Moon,Harvest,"LP, Album, RP",4,1978,3329897,Father Collection,2023-04-26 00:02:46,Conceptual,"Psychedelic Rock, Prog Rock",Rock,"Abbey Road Studios
London, England, UK
",1973,London,UK,England,In-Store,1978,Unknown,Unknown,Unknown,Italy,"1965–1994
2005
2007
2013–2014
2022",Yes,"David Gilmour
Nick Mason
Roger Waters
Richard Wright
","Bass, Synthesizer [Vcs 3], Effects [Tape], Vocals, Lyrics By – Roger Waters
Effects [Tape], Percussion – Nick Mason
Guitar, Synthesizer [Vcs 3], Vocals – David Gilmour
Keyboards, Synthesizer [Vcs 3], Vocals – Richard Wright","Backing Vocals – Barry St John*, Doris Troy, Leslie Duncan*, Liza Strike","Engineer – Alan Parsons
Engineer [Assistant] – Peter James
","Mixed By [Supervisor] – Chris Thomas
Producer, Music By – Pink Floyd",Good Plus (G+),Good Plus (G+),"Artwork [Sleeve And Stickers] – George Hardie, N.T.A.
Design [Sleeve], Photography By – Hipgnosis (2)","Note on Credits:
Though not detailed in the liner notes, Barry St. John, Doris Troy, Lesley Duncan, and Liza Strike perform backing vocals only on tracks A4, B2, B4, and B5."
"3C 064-98434, 3C 064-98 434",Pink Floyd,Animals,"Harvest, Harvest","LP, Album, Gat",4,1977,1508896,Father Collection,2023-04-26 00:15:58,Conceptual,"Psychedelic Rock, Prog Rock",Rock,"Britannia Row Studios
London, England, UK
",1977,London,UK,England,In-Store,1978,Unknown,Unknown,Unknown,Italy,"1965–1994
2005
2007
2013–2014
2022",Yes,"David Gilmour
Nick Mason
Richard Wright
Roger Waters  ","Lead Vocals, Lead Guitar, Bass Guitar, Acoustic Guitar, Talk Box - David Gilmour
Hammond organ, ARP string synthesizer, Fender Rhodes, Minimoog, Farfisa organ, piano, clavinet, EMS VCS 3, harmony vocals - Richard Wright ","Drums, Percussion, Tape Effects - Nick Mason
Lead Vocals, Harmony Vocals, Acoustic Guitar, Rhythm Guitar, Bass Guitar, Tape Effects, Vocoder","Engineer – Brian Humphries
Producer – Pink Floyd",None,Very Good (VG),Very Good (VG),"Design [Inflatable Pig Designed By] – E.R.G. Amsterdam
Graphics – Nick Mason
Layout [Sleeve Design Organised By] – Storm Thorgerson
Photography By – Colin Jones (7), Howard Bartrop, Nic Tucker, Peter Christopherson, Rob Brimson, Bob Ellis","Photography By, Layout [Sleeve Design Organised By] – Aubrey Powell
Sleeve [Design] – Roger Waters
Original 1977 issue with matrix numbers either having 30-12-76 and or 7-1-77 as part.
original studio was build by Pink Floyd in a three-story block."
JETLX 500,Electric Light Orchestra,Discovery,Jet Records,"LP, Album, Gat",3,1979,1284470,2023 Second Hand,2023-04-24 01:05:06,Studio Album,"Prog Rock, Symphonic Rock","Rock, Pop","Musicland Studios
Munich, Bavaria, Germany",1979,Birmingham,UK,England,In-Store,2023,Discs Oldies,Valencia,Valencian Community,Spain,"1970–1983
1984–1986
2000–2001
2014–present",Yes,"Jeff Lynne
Bev Bevan
Richard Tandy
Kelly Groucutt","Jeff Lynne – lead vocals, guitars (electric, acoustic 12-string), vocoder, backing vocals, orchestral & choral arrangements, producer
Bev Bevan – drums, percussion, backing vocals
Richard Tandy – piano, synthesizer, Wurlitzer electric piano, clavinet, le","Louis Clark - orchestral & choral arrangements, orchestra conductor
Mack - engineer",None,None,Good (G),Good (G),"Design, Art Direction – Gribbitt!, Norman Moore, Paul Gross (3)
Photography By – Jim Shea","There is a small Epic-Logo on the Jet-Label

Inner sleeve with lyrics and band members' pics.

[rim text]
Fabricado en España por Discos CBS, S.A., Madrid

[back sleeve]
© 1979 EPC/SGAE ℗ 1979 EPC - Discos
CBS, S. A. - Avda. del Generalisimo, 25 - Madrid"
